供应商ID,材料分类,有效周数,供货量均值,CV,平均满足率,OFV,OFR,缺货周数,SRI,CA,PCI,综合得分
S024,B,77,1.6103896103896105,140.3629462071261,0.3416666666666667,0.6396613687465164,42.5531914893617,43,32.080685272174634,18.75,2.447792207792208,0.4673645470736138
S025,C,135,2.7777777777777777,63.37945427250534,0.0,0.0,93.85113268608414,19,0.8653961404770467,52.5,3.8611111111111107,0.6778357209693346
S026,A,17,1.6470588235294117,82.97328682492102,0.0,0.0,86.95652173913044,3,2.3017902813299234,5.833333333333333,2.7505882352941176,0.6139195962682351
S027,A,47,1.7234042553191489,117.74128986217809,0.0,0.0,77.10843373493977,19,9.254037426300947,12.5,2.8780851063829784,0.6006399938629354
S028,B,49,2.163265306122449,176.6175099143743,0.89,0.6877499545619761,56.849315068493155,32,28.180039138943247,7.916666666666666,3.288163265306123,0.48247123170205997
S029,B,90,0.7555555555555555,188.5489785512022,0.00125,0.0017677669529663688,5.942622950819672,71,74.20081967213115,12.083333333333334,1.1484444444444444,0.3830614699988325
S030,A,29,5.586206896551724,131.50466381150213,1.33,0.25396850198400583,99.20634920634922,1,0.027367268746579087,11.666666666666666,9.328965517241379,0.6206040667452691
S031,B,240,171.69583333333333,18.678490248610213,1.0188109944034058,0.055236857386362935,98.99886570991764,7,0.029199750127402148,100.0,260.97766666666666,0.7363158689953526
S032,C,64,1.109375,156.63753804957747,0.0,0.0,59.79381443298969,39,24.500644329896907,12.5,1.54203125,0.5508140557671602
S033,C,19,1.5789473684210527,82.61916197787245,0.0,0.0,89.28571428571429,3,1.6917293233082706,7.083333333333333,2.194736842105263,0.6183398891363928
S034,C,77,0.38961038961038963,300.697045962032,0.0005555555555555556,0.0016666666666666668,1.5826494724501756,70,89.47031866140892,5.833333333333333,0.5415584415584416,0.34279219653472687
S035,A,100,1.44,210.8480847133433,0.8954545454545454,0.5174935620632004,57.9646017699115,57,23.96017699115044,22.916666666666664,2.4048,0.5175062669721717
S036,B,54,2.2962962962962963,75.96201388750333,0.0,0.0,93.0,7,0.9074074074074074,20.416666666666668,3.4903703703703703,0.6391463269457736
S037,C,161,314.8198757763975,242.736721157674,1.0317111332768871,0.25937380916316605,74.35022237983362,12,1.9117846673415935,65.41666666666667,437.5996273291925,0.668169300698523
S038,A,80,0.45,186.76308540587857,0.0,0.0,30.851063829787233,65,56.183510638297875,9.166666666666666,0.7515,0.44206392870058725
S039,C,63,6.111111111111111,356.008261371497,0.7443055555555556,0.5692741784744656,36.613756613756614,22,22.13487864281515,18.75,8.494444444444444,0.45546521715850524
S040,B,240,132.9375,55.96139057749453,1.018751142263288,0.11027991594093721,95.50988875154512,11,0.20579676555418208,100.0,202.065,0.7258710289688368
S041,C,62,1.1451612903225807,144.7860101606782,0.0,0.0,28.57142857142857,42,48.387096774193544,11.666666666666666,1.5917741935483871,0.4592503852879948
S042,A,56,2.4642857142857144,224.53778219846865,0.6571428571428571,0.6604471789556499,39.0728476821192,37,40.255439924314096,10.416666666666668,4.1153571428571425,0.42221947032442786
S043,A,68,0.5735294117647058,202.7909323079897,0.0,0.0,8.882521489971348,53,71.01803472105173,7.5,0.9577941176470587,0.3859235418380739
S044,C,17,1.7647058823529411,73.69230323144714,0.0,0.0,85.18518518518519,4,3.4858387799564268,5.833333333333333,2.452941176470588,0.6114854480630468
S045,B,82,0.3780487804878049,251.59605372005447,0.0,0.0,17.687074829931973,64,64.24423427907749,8.333333333333332,0.5746341463414635,0.400607303563095
S046,A,159,1.2389937106918238,59.862908553309104,0.0,0.0,75.22522522522522,55,8.569890645362342,58.333333333333336,2.069119496855346,0.6554138605786907
S047,B,89,0.7415730337078652,184.68032476630881,0.0,0.0,0.5995475113122173,71,79.29699018760485,11.666666666666666,1.127191011235955,0.3720876501315367
S048,B,50,1.3,145.1631298200319,0.0,0.0,54.83870967741935,28,25.290322580645164,10.833333333333334,1.9760000000000002,0.540919764110207
S049,A,43,0.8837209302325582,146.5223654870381,0.0,0.0,54.71698113207547,24,25.274243089074155,7.916666666666666,1.475813953488372,0.5375709283247011
S050,B,32,2.0625,78.79539779145442,0.0,0.0,94.11764705882352,3,0.551470588235294,12.083333333333334,3.1350000000000002,0.630182805627548
S051,A,61,0.47540983606557374,225.917778511656,0.0,0.0,0.726010101010101,49,79.74468041066402,6.25,0.7939344262295082,0.3629346037887316
S052,A,45,1.2,123.8584235767156,0.0,0.0,66.66666666666666,21,15.555555555555555,10.416666666666668,2.004,0.5752357610845162
S053,A,31,2.4838709677419355,74.14132426972444,0.0,0.0,100.0,0,0.0,12.916666666666668,4.148064516129032,0.6368005577964027
S054,B,129,3.201550387596899,134.42450346879426,0.7541666666666667,0.5240069974087496,69.0,33,7.930232558139536,47.083333333333336,4.866356589147287,0.5974564445342723
S055,B,240,100.17083333333333,190.36709790175723,1.0398244743711809,0.20238115198715217,71.65293111491215,18,2.126030166381589,100.0,152.25966666666667,0.6790211558330963
S056,A,44,0.6363636363636364,166.34203473617504,0.0,0.0,43.63636363636363,31,39.710743801652896,7.083333333333333,1.0627272727272727,0.4922424118115054
S057,B,58,0.8620689655172413,171.71007797212428,0.0,0.0,30.57851239669421,38,45.48304360216586,9.166666666666666,1.3103448275862069,0.4621966809079373
S058,B,76,0.4473684210526316,207.75728896671825,0.0,0.0,7.8431372549019605,60,72.75541795665634,8.333333333333332,0.68,0.38221629259524986
S059,C,98,0.47959183673469385,104.70401361556164,0.003333333333333333,0.004714045207910317,5.919395465994962,64,61.440394797717566,19.583333333333332,0.6666326530612244,0.41749664021819516
S060,C,25,3.44,135.07279250568538,1.2333333333333334,0.15275252316519466,82.02247191011236,16,11.50561797752809,4.166666666666666,4.781599999999999,0.5856261152000638
S061,C,67,1.2537313432835822,154.82807443240682,0.12987012987012986,0.3436040663720248,5.014970059880239,41,58.12516757529716,12.5,1.7426865671641791,0.37638152177059003
S062,A,17,4.411764705882353,235.29414215686143,1.2166666666666668,0.023570226039551737,82.89473684210526,13,13.08049535603715,2.083333333333333,7.36764705882353,0.5805995610370432
S063,C,77,0.38961038961038963,195.98454408566974,0.000625,0.00125,2.5423728813559325,61,77.20669161347128,8.75,0.5415584415584416,0.3729386356830022
S064,A,134,2.962686567164179,63.099774372371,0.0,0.0,2.3982732432648493,13,9.46882423759371,52.5,4.947686567164179,0.5252097341724407
S065,A,88,2.147727272727273,192.75766109919923,1.19375,0.4411328759973737,75.46296296296296,34,9.480218855218855,26.666666666666668,3.5867045454545456,0.5829001152206312
S066,A,141,2.75177304964539,64.44714130306215,0.00375,0.005303300858899107,31.34962805526036,21,10.224523481131435,55.00000000000001,4.595460992907801,0.5744607830578343
S067,C,169,1.378698224852071,43.97860370806625,0.0,0.0,98.9010989010989,2,0.013004746732557386,70.41666666666667,1.9163905325443784,0.7001765869560275
S068,C,69,0.6086956521739131,308.91855280786797,0.2333333333333333,0.5715476066494082,11.458333333333332,58,74.42632850241544,6.666666666666667,0.8460869565217392,0.297317918883058
S069,B,98,1.7244897959183674,129.20498173090905,0.3666666666666667,0.5680375574437546,38.605898123324394,43,26.9382283744597,29.166666666666668,2.6212244897959183,0.4882572535622598
S070,C,35,1.3142857142857143,98.98433393924167,0.0,0.0,37.634408602150536,9,16.036866359447004,10.833333333333334,1.8268571428571427,0.5318338933141737
S071,A,72,2.6527777777777777,260.56634774283384,0.8272727272727273,0.5118198862486646,52.4390243902439,66,43.59756097560975,5.0,4.430138888888888,0.4439977449330934
S072,A,41,0.6829268292682927,158.5187332005596,0.0,0.0,22.857142857142858,28,52.6829268292683,7.083333333333333,1.140487804878049,0.4381005633351702
S073,B,23,1.391304347826087,114.13738979843548,0.0,0.0,80.64516129032258,6,5.049088359046284,7.083333333333333,2.114782608695652,0.6035295301847909
S074,C,183,71.31693989071039,246.44619105462695,0.896748536153053,0.45938023611174145,38.89944236779214,46,15.358610115199788,71.25,99.13054644808743,0.5533397776259619
S075,A,134,2.91044776119403,98.31356160734269,0.75,0.0,91.1854103343465,20,1.3156103978587306,52.083333333333336,4.86044776119403,0.6725931855879764
S076,C,201,1.8706467661691542,51.36323461021768,0.0,0.0,93.84057971014492,17,0.5209459946643594,82.08333333333333,2.6001990049751242,0.7044582300666586
S077,B,58,2.206896551724138,411.6157329964676,0.596,0.5604284075597882,43.233082706766915,48,46.97951775991704,5.0,3.35448275862069,0.3920503400162869
S078,A,107,79.93457943925233,111.4726877029057,1.0195799557514287,0.2899730234954677,81.55272763144914,17,2.930875049209014,42.083333333333336,133.4907476635514,0.6418200279477407
S079,B,52,1.2307692307692308,146.24591497562872,0.0,0.0,18.45018450184502,31,48.61623616236162,10.0,1.870769230769231,0.44250683870828084
S080,C,240,80.15416666666667,70.81176921372233,1.0861340528469496,0.2002161172232855,96.90148305084746,25,0.3227621822033898,100.0,111.41429166666666,0.7152620545663301
S081,B,31,1.5806451612903225,154.77319238196748,1.3,0.0,79.16666666666666,10,6.720430107526881,9.583333333333334,2.40258064516129,0.5998730087846169
S082,A,72,0.8055555555555556,185.931478361096,0.9,0.0,48.0,51,36.833333333333336,11.25,1.3452777777777778,0.5063421866509543
S083,A,32,0.875,155.64852964117642,0.0,0.0,1.0454545454545454,20,61.84659090909091,5.833333333333333,1.46125,0.39648178709981036
S084,C,71,0.9859154929577465,221.88327244053642,0.0,0.0,10.363636363636363,56,70.69910371318822,7.5,1.3704225352112676,0.3854033637416423
S085,C,56,0.8214285714285714,194.37704814308375,0.0,0.0,40.0,36,38.57142857142858,9.583333333333334,1.1417857142857142,0.4874210414302394
S086,C,209,85.88038277511961,307.3743693673356,0.750678055449346,0.49698182987056905,58.851833416293346,27,5.315791855311386,85.83333333333333,119.37373205741625,0.6111890868367829
S087,A,38,1.6842105263157894,113.92212993615063,0.04,0.0,58.139534883720934,13,14.320685434516525,11.25,2.812631578947368,0.5659110324846665
S088,B,153,2.7777777777777777,75.04104140226761,0.02,0.04,56.62020905923345,27,7.655257224841157,57.91666666666667,4.222222222222222,0.6237503488457152
S089,A,43,3.2790697674418605,177.36520422130567,0.8857142857142856,0.8375133261199916,40.0,19,26.51162790697674,10.416666666666668,5.4760465116279065,0.44623939809902746
S090,C,43,3.372093023255814,174.36771326171154,1.1733333333333333,0.7330112929249831,45.714285714285715,16,20.199335548172755,12.083333333333334,4.687209302325582,0.47893193363629616
S091,A,52,1.4038461538461537,140.53894444133124,0.0,0.0,45.23809523809524,25,26.32783882783883,12.083333333333334,2.3444230769230767,0.5252703437858626
S092,B,130,3.0615384615384613,60.42749100521222,0.0,0.0,95.34161490683229,15,0.537505972288581,52.5,4.653538461538461,0.6795464470104622
S093,A,59,0.6101694915254238,245.39392402433893,0.0,0.0,2.3887973640856672,49,81.06693100270851,5.0,1.0189830508474575,0.3594911179818044
S094,C,51,0.803921568627451,147.221742697548,0.0,0.0,13.991769547325102,30,50.59307673686758,10.0,1.1174509803921568,0.4329964729863797
S095,B,71,0.4507042253521127,277.6003277452778,0.0,0.0,23.853211009174313,61,65.4218891329629,5.416666666666667,0.6850704225352113,0.4017714943415484
S096,A,54,1.3518518518518519,147.3560250595508,0.0,0.0,0.3113733202228778,29,53.53648469839884,11.666666666666666,2.2575925925925926,0.4132015336076087
S097,A,74,0.8513513513513513,178.9127949231638,0.001586111111111111,0.004623985936280666,0.33375314861460953,52,70.03574103070325,12.5,1.4217567567567566,0.3845052393392508
S098,B,209,1.9760765550239234,62.65827988353521,0.11666666666666667,0.02357022603955158,89.4894894894895,15,0.7543428596060175,85.83333333333333,3.0036363636363634,0.7015658777594089
S099,A,41,1.4634146341463414,113.41847292218318,0.0,0.0,3.255484784147204,19,44.83282412441959,10.416666666666668,2.44390243902439,0.4337756626393641
S100,C,91,0.46153846153846156,285.8170009371229,0.0,0.0,2.517006802721088,82,87.84181804589967,6.666666666666667,0.6415384615384615,0.34772339370449123
S101,A,73,0.7671232876712328,191.28988216650242,0.008333333333333333,0.014433756729740645,5.822784810126582,56,72.24553494017687,10.416666666666668,1.2810958904109588,0.3828049781759611
S102,A,64,2.046875,117.57125621366188,0.22487012987012986,0.3727611509257798,17.932148626817447,31,39.7516155088853,20.833333333333336,3.4182812499999997,0.43771281811402574
S103,C,63,0.47619047619047616,281.8887907004829,0.0,0.0,1.0272619517977084,47,73.83680457564297,7.5,0.6619047619047618,0.36351410407386775
S104,A,72,2.1527777777777777,294.6802449713791,0.44135802469135804,0.6566793046766985,26.666666666666668,53,53.98148148148149,10.416666666666668,3.5951388888888887,0.3573026275459704
S105,B,55,2.1818181818181817,304.29136628683347,0.6,0.848528137423857,57.6271186440678,36,27.73497688751926,10.416666666666668,3.316363636363636,0.45849886740902823
S106,A,39,1.9743589743589745,70.18870471997863,0.0,0.0,95.08196721311475,3,0.37831021437578816,15.416666666666668,3.2971794871794873,0.635715038455273
S107,C,63,1.0952380952380953,140.7947440381826,0.002,0.0034641016151377548,3.4875922199865865,40,61.277719225405335,12.083333333333334,1.5223809523809524,0.40529767760282503
S108,B,240,1003.9583333333334,122.05755247290074,0.9840828685346856,0.13056289816710845,88.38475565952587,9,0.43557166276777987,100.0,1526.0166666666667,0.8287269483441964
S109,A,56,0.6428571428571429,188.60941892399285,0.0,0.0,22.30769230769231,38,52.71978021978022,7.916666666666666,1.0735714285714286,0.4340906012291457
S110,C,154,2.7662337662337664,72.39399884942765,0.0,0.0,79.24528301886792,45,6.064690026954178,53.333333333333336,3.845064935064935,0.6576688732094497
S111,B,38,0.8157894736842105,158.3071994256532,0.0,0.0,2.2641509433962264,24,61.727904667328694,6.666666666666667,1.24,0.3980000883038853
S112,B,16,7.6875,242.65044518500898,0.8083333333333333,0.5413460589637238,59.25925925925925,11,28.009259259259256,2.083333333333333,11.685,0.4855027274233305
S113,C,132,2.9166666666666665,72.27201045959379,1.1,0.0,95.81993569131832,13,0.41167300009743735,52.5,4.054166666666666,0.6793307475079783
S114,A,231,47.32034632034632,296.06255750126934,0.9598941934899108,0.42538561430768324,73.16052938352877,31,3.6018337190935426,95.41666666666667,79.02497835497834,0.6480667489159412
S115,A,141,2.8226950354609928,70.63678034192769,0.22916666666666669,0.44724522600142974,39.19089759797724,38,16.38826873246003,50.416666666666664,4.713900709219858,0.5465623228394718
S116,A,37,2.027027027027027,121.11335369993041,0.0,0.0,66.66666666666666,15,13.513513513513514,9.583333333333334,3.385135135135135,0.5773442711229749
S117,B,98,1.2551020408163265,174.37538999247604,0.22708600713012478,0.418144933889586,3.4929238181270703,53,52.19260242489047,25.416666666666664,1.9077551020408163,0.3851185393392958
S118,B,70,0.9428571428571428,174.0279560737747,0.0,0.0,2.768903088391906,45,62.50570515746235,11.666666666666666,1.433142857142857,0.3983699900982508
S119,A,47,0.6170212765957447,387.60255958503035,0.8,1.1313708498984762,22.727272727272727,39,64.11992263056092,3.75,1.0304255319148936,0.26247257868762125
S120,B,32,1.03125,133.74148849935565,0.0,0.0,56.81818181818182,19,25.639204545454547,6.666666666666667,1.5675000000000001,0.5402415358801583
S121,A,54,2.537037037037037,226.97277755869632,0.9571428571428572,0.6729466121893645,58.69565217391305,30,22.946859903381643,10.833333333333334,4.236851851851852,0.4939087232737616
S122,A,45,1.6222222222222222,99.47490037407432,0.0,0.0,76.81159420289855,16,8.244766505636072,12.916666666666668,2.709111111111111,0.6032689359843736
S123,A,240,26.870833333333334,37.84733693094855,1.1384119102186327,0.2655564237974448,92.01309328968902,42,1.397708674304419,100.0,44.874291666666664,0.7040425191450114
S124,B,30,1.1333333333333333,136.56253459900006,0.0,0.0,41.269841269841265,18,35.23809523809524,5.833333333333333,1.7226666666666666,0.49823785419092614
S125,B,59,0.8305084745762712,205.11175625838897,0.0,0.0,17.02127659574468,48,67.50811395600434,6.666666666666667,1.2623728813559323,0.3998444044151772
S126,C,100,475.4,361.3899316648842,0.9838349682177984,0.38958301726739303,35.703216540046114,15,9.644517518993084,37.916666666666664,660.8059999999999,0.5381107587775227
S127,A,64,2.46875,230.2686597247651,1.0833333333333333,0.5573747990954262,25.514403292181072,43,50.04501028806585,10.0,4.1228125,0.3848473119601794
S128,A,71,1.8732394366197183,153.90992398289058,1.5499999999999998,0.2121320343559642,80.95238095238095,24,6.438631790744466,21.25,3.128309859154929,0.6060682025637508
S129,C,203,7.512315270935961,255.5622038155322,0.755952041785375,0.5417084114769661,56.48379052369077,44,9.432084812599044,80.0,10.442118226600984,0.5926806776681907
S130,A,96,0.625,204.04333904963994,0.012499999999999999,0.030618621784789725,14.95601173020528,77,68.21236559139786,11.666666666666666,1.04375,0.39637925660545825
S131,B,240,572.9666666666667,25.461532252284126,0.993200500140655,0.07609774355143507,97.91578479132737,11,0.09552653039749559,100.0,870.9093333333334,0.7856527703262154
S132,A,50,1.26,141.43735314128074,0.0,0.0,69.33333333333334,23,14.106666666666667,11.666666666666666,2.1042,0.5810439928149822
S133,C,30,2.3666666666666667,78.05637501009116,0.0,0.0,88.52459016393442,7,2.677595628415301,10.833333333333334,3.2896666666666663,0.621502662410461
S134,B,65,0.8,182.4850165082054,0.0,0.0,7.572815533980583,47,66.8319641523525,8.75,1.2160000000000002,0.39403864637585256
S135,C,21,4.142857142857143,274.1845546993335,1.4749999999999999,0.23848480035423636,80.24691358024691,16,15.049970605526159,2.083333333333333,5.758571428571429,0.5591157459787185
S136,C,44,0.9545454545454546,164.41285785768102,0.0,0.0,3.8506417736289387,26,56.81552986103745,7.916666666666666,1.3268181818181817,0.4071599808515056
S137,B,84,0.39285714285714285,233.82238238038983,0.0,0.0,0.5403391093720886,69,81.69900716015863,7.916666666666666,0.5971428571428571,0.36034011356962725
S138,B,159,2.5849056603773586,67.04900733199142,0.003199233716475096,0.0027779098924851264,11.876396128071482,38,21.060987088888574,59.166666666666664,3.929056603773585,0.5285565571284726
S139,B,224,677.9553571428571,322.67314631323165,1.2725735623436862,0.34840355003847356,85.06199788464568,6,0.4001250566612764,92.5,1030.4921428571429,0.7347488225464358
S140,B,220,1372.9409090909091,331.81881920142945,0.8634683421712306,0.512084328564083,62.723366929742696,21,3.5582240657972877,91.25,2086.870181818182,0.728878328989389
S141,B,130,3.230769230769231,68.67716715169502,1.15,0.07071067811865474,94.44444444444444,19,0.8119658119658121,50.0,4.9107692307692306,0.6730161149112737
S142,B,46,2.630434782608696,284.5301437941161,0.8555555555555556,0.6616477747093069,41.596638655462186,32,40.628425283156744,6.25,3.9982608695652178,0.41359517451585
S143,A,240,344.9458333333333,79.7489222752143,1.0036677313469538,0.19699637437377227,86.48302844453843,17,0.957452151845194,100.0,576.0595416666666,0.7410573380880421
S144,A,20,1.4,332.13174045589193,0.5,0.7071067811865476,42.857142857142854,17,48.57142857142856,1.25,2.3379999999999996,0.38284672078322446
S145,A,73,0.863013698630137,185.55273426809816,0.0,0.0,2.1934978456717587,51,68.33056999822932,11.666666666666666,1.4412328767123288,0.387717757305982
S146,B,187,1.8823529411764706,277.2361430842993,0.4310314685314685,0.6905498822089425,35.050251256281406,54,18.75554241797221,70.41666666666667,2.8611764705882354,0.5127518540831404
S147,B,20,5.4,296.7467336401032,0.75,0.6508541396588879,60.75949367088608,13,25.506329113924046,3.3333333333333335,8.208,0.47902268611011267
S148,A,80,0.7375,196.2488078814479,0.10444444444444445,0.29845900518794505,5.155642023346303,65,77.06104085603113,11.25,1.231625,0.343569306752968
S149,C,81,3.0987654320987654,85.32056455818838,1.1,0.0,94.6341463414634,11,0.7286961758506474,30.0,4.3072839506172835,0.6517743028847793
S150,A,240,7.525,482.92167667540565,0.5299892448958192,0.5129616837992053,29.44606413994169,44,12.93488824101069,100.0,12.56675,0.5310456443377367
S151,C,240,810.4083333333333,225.175229535068,0.983328206139626,0.1416442768063188,72.61416081948144,7,0.7987536427651246,100.0,1126.4675833333333,0.7524238558103301
S152,A,137,2.9051094890510947,68.57581434408247,0.9090909090909091,0.0,87.25761772853186,39,3.627393493337647,51.66666666666667,4.851532846715328,0.6680268123928272
S153,B,56,3.125,657.3945266248902,0.07897435897435898,0.28474610072895096,6.23825629462608,46,77.01857518655714,5.416666666666667,4.75,0.2723352215839549
S154,A,104,73.40384615384616,129.62732166451408,0.982211602709771,0.3304398334279489,72.66236306729265,36,9.463028169014084,32.083333333333336,122.58442307692309,0.6044592740063807
S155,A,54,0.7407407407407407,198.31364523600604,0.02,0.04898979485566356,8.454106280193237,39,66.11647879763821,7.916666666666666,1.237037037037037,0.38824791028776734
S156,A,48,0.5833333333333334,168.9794659769082,0.0,0.0,8.880308880308881,37,70.23809523809523,6.666666666666667,0.9741666666666667,0.39114659805591834
S157,A,132,2.992424242424242,62.41596480436633,0.0006057585825027686,0.0008920195320787514,0.9133517606056964,21,15.763784947176365,50.0,4.997348484848485,0.5124026303125301
S158,A,51,0.7254901960784313,163.27456295219886,0.0,0.0,0.28557360905957657,33,64.52109942943204,8.333333333333332,1.2115686274509803,0.3922913030870878
S159,A,82,2.6219512195121952,221.47057545489014,0.9033333333333333,0.5370185181992227,69.96047430830039,44,16.118769883351007,19.583333333333332,4.378658536585366,0.5460792457829237
S160,C,68,0.6617647058823529,199.8761363266209,0.00011966832504145937,0.00031794730951986965,0.06061766207248596,53,77.89393035161997,8.333333333333332,0.9198529411764705,0.3692515586506593
S161,C,72,0.6527777777777778,219.91582695369328,0.0005803921568627451,0.0013349500002876416,0.16432865731462926,58,80.42317969271878,8.333333333333332,0.9073611111111111,0.36348053778853096
S162,C,89,0.3146067415730337,281.84833797899415,0.0,0.0,2.323232323232323,80,87.79934173192599,5.833333333333333,0.4373033707865168,0.34773008900460156
S163,A,78,3.230769230769231,227.33897788695262,0.7138888888888889,0.6765212313231392,26.625766871165645,42,39.50920245398773,19.166666666666668,5.395384615384615,0.4074306759733363
S164,C,78,0.9230769230769231,212.95522498855917,0.0,0.0,6.787330316742081,61,72.89708782921453,9.166666666666666,1.283076923076923,0.3807129097792584
S165,A,95,0.7894736842105263,95.81799137139734,0.0,0.0,10.287443267776098,39,36.82936539533402,26.25,1.318421052631579,0.46997886930272503
S166,B,52,0.6153846153846154,203.9139091698778,0.0,0.0,16.666666666666664,36,57.6923076923077,6.666666666666667,0.9353846153846155,0.41510129316708944
S167,A,70,1.9428571428571428,245.8133211547505,0.9023809523809524,0.6671129458642535,49.77777777777778,49,35.15555555555556,11.666666666666666,3.244571428571428,0.45119995842717364
S168,B,65,0.47692307692307695,210.0299455880148,0.0,0.0,1.5122873345935728,52,78.79017013232514,7.083333333333333,0.724923076923077,0.36737131227099956
S169,B,123,2.9186991869918697,56.62063899337338,0.0,0.0,97.75280898876404,6,0.10961907371882709,49.166666666666664,4.436422764227642,0.678381701052056
S170,A,41,3.292682926829268,180.85598936415929,0.7588888888888888,0.6724636848242493,33.13609467455622,20,32.6165391831433,10.0,5.498780487804877,0.4333655500811702
S171,C,63,1.1428571428571428,161.69153727331081,0.0,0.0,56.99999999999999,38,25.936507936507937,12.083333333333334,1.5885714285714283,0.5430966129752868
S172,B,137,2.5985401459854014,61.46326136908833,0.1,0.0,90.72164948453609,19,1.2867785386409814,53.333333333333336,3.94978102189781,0.6756593484276253
S173,C,39,9.538461538461538,470.85271259631475,0.43668831168831174,0.6123309656572847,19.130434782608695,25,51.83946488294314,6.666666666666667,13.258461538461537,0.3217962853806004
S174,B,126,2.746031746031746,57.8889541282025,0.0,0.0,99.2094861660079,2,0.012547838634795156,52.083333333333336,4.173968253968254,0.682520369467735
S175,B,141,2.595744680851064,66.08458824120751,0.0,0.0,98.16176470588235,5,0.06518564872757614,57.49999999999999,3.945531914893617,0.6868291941601814
S176,B,80,0.6375,75.88315141160038,0.0,0.0,13.110539845758353,41,44.53084832904884,21.25,0.969,0.459172127677196
S177,C,77,0.6103896103896104,231.92773524346717,0.0,0.0,25.517241379310345,59,57.071204657411556,8.75,0.8484415584415583,0.4263907001647462
S178,A,45,3.6222222222222222,73.58302212986733,1.4,0.0,100.0,0,0.0,18.75,6.04911111111111,0.6439493242064278
S179,B,74,0.4189189189189189,262.1098096625816,0.0,0.0,3.6450079239302693,62,80.72985822589627,5.833333333333333,0.6367567567567568,0.35909493062600567
