supplier,week,transporter,quantity,loss_rate
S040,17,T2,117.9,0.1773
S040,18,T5,136.8,0.0
S040,19,T4,113.4,0.0
S040,20,T6,124.2,0.0
S040,21,T3,114.3,0.0647
S040,22,T4,132.3,0.0
S040,23,T3,145.8,0.1295
S055,1,T2,67.5,0.7092
S055,2,T5,1094.4,0.0
S055,3,T8,67.5,0.0
S055,4,T5,68.4,0.0
S055,5,T1,72.0,1.1194
S055,6,T5,70.2,0.0
S055,7,T4,67.5,0.0
S055,8,T3,62.1,0.0
S055,9,T4,69.3,0.0
S055,10,T3,63.0,0.0
S055,11,T4,75.6,0.2755
S055,12,T6,64.8,0.018
S055,13,T5,57.6,0.0
S055,14,T4,76.5,0.0
S055,15,T4,68.4,0.0598
S055,16,T6,539.1,0.0169
S055,17,T6,63.0,0.0338
S055,18,T5,66.6,0.0
S055,19,T3,69.3,0.0324
S055,20,T3,62.1,0.0
S055,21,T5,65.7,0.0
S055,22,T3,60.3,0.0
S055,23,T4,72.0,0.0
S092,1,T2,4.5,0.7092
S092,2,T3,0.9,0.0
S092,3,T4,5.4,0.0
S092,5,T4,8.1,0.0
S092,6,T4,0.9,0.0
S092,7,T4,4.5,0.0
S092,9,T3,3.6,0.0
S092,10,T3,2.7,0.0
S092,11,T2,6.3,0.8865
S092,12,T4,0.9,0.0705
S092,13,T4,5.4,0.0
S092,14,T4,0.9,0.0
S092,15,T3,7.2,0.0324
S092,16,T6,7.2,0.0169
S092,17,T2,5.4,0.1773
S092,18,T3,1.8,0.0
S092,19,T6,6.3,0.007400000000000001
S092,21,T5,5.4,0.0
S092,23,T6,7.2,0.0
S098,1,T2,1.8,0.7092
S098,2,T8,1.8,0.0
S098,3,T8,3.6,0.0
S098,4,T8,2.7,0.0
S098,5,T1,2.7,1.1194
S098,6,T4,9.0,0.0
S098,7,T4,2.7,0.0
S098,8,T5,1.8,0.0
S098,9,T4,6.3,0.0
S098,10,T3,2.7,0.0
S098,11,T6,2.7,0.0169
S098,12,T6,3.6,0.018
S098,13,T5,3.6,0.0
S098,14,T4,1.8,0.0
S098,15,T3,4.5,0.0324
S098,16,T6,2.7,0.0169
S098,17,T6,2.7,0.0338
S098,18,T3,2.7,0.0
S098,19,T4,1.8,0.0
S098,20,T3,3.6,0.0
S098,21,T3,5.4,0.0647
S098,22,T3,3.6,0.0
S098,23,T4,1.8,0.0
S108,1,T2,735.3,0.7092
S108,2,T4,2948.1,0.0
S108,2,T5,4.2,0.0
S108,2,T8,4144.2,0.0
S108,3,T8,955.8,0.0
S108,4,T8,684.0,0.0
S108,5,T4,882.9,0.0
S108,6,T3,810.9,0.0
S108,7,T4,198.3,0.0
S108,7,T5,520.8,0.0
S108,8,T3,717.3,0.0
S108,9,T3,805.5,0.0
S108,10,T6,762.3,0.0254
S108,11,T4,711.0,0.2755
S108,12,T3,703.8,0.0
S108,13,T4,809.1,0.0
S108,14,T6,775.8,0.0042
S108,15,T6,855.9,0.007400000000000001
S108,16,T6,973.8,0.0169
S108,17,T3,854.1,0.0971
S108,18,T3,722.7,0.0
S108,19,T6,731.7,0.007400000000000001
S108,20,T3,727.2,0.0
S108,21,T4,801.0,0.0
S108,22,T5,768.6,0.0
S108,23,T4,948.6,0.0
S131,1,T2,610.2,0.7092
S131,1,T7,16.2,0.9783
S131,2,T5,629.1,0.0
S131,3,T4,724.5,0.0
S131,4,T5,771.3,0.0
S131,5,T5,912.6,0.0
S131,6,T4,803.7,0.0
S131,7,T4,675.0,0.0
S131,8,T3,44.4,0.0
S131,8,T4,629.7,0.0
S131,9,T6,706.5,0.0254
S131,10,T4,570.0,0.24979999999999997
S131,10,T6,123.0,0.0254
S131,11,T5,598.5,0.0
S131,12,T3,669.6,0.0
S131,13,T4,702.0,0.0
S131,14,T8,773.1,0.5085
S131,15,T6,684.9,0.007400000000000001
S131,16,T3,658.8,0.0
S131,17,T6,714.6,0.0338
S131,18,T6,645.3,0.0042
S131,19,T4,649.8,0.0
S131,20,T5,814.5,0.0
S131,21,T3,615.6,0.0647
S131,22,T5,560.7,0.0
S131,23,T6,566.1,0.0
S139,1,T6,3551.7,0.0106
S139,1,T8,5634.6,0.339
S139,2,T3,0.9,0.0
S139,3,T4,4292.7,0.0
S139,3,T5,3070.2,0.0
S139,3,T6,1292.4,0.0454
S139,4,T5,0.9,0.0
S139,5,T4,7.2,0.0
S139,6,T3,28.8,0.0
S139,7,T3,22.5,0.0324
S139,8,T3,29.7,0.0
S139,9,T4,31.5,0.0
S139,10,T3,12.6,0.0
S139,11,T4,18.9,0.2755
S139,12,T3,16.2,0.0
S139,13,T5,21.6,0.0
S139,14,T8,17.1,0.5085
S139,15,T6,25.2,0.007400000000000001
S139,16,T6,9.0,0.0169
S139,17,T3,22.5,0.0971
S139,18,T6,11.7,0.0042
S139,19,T4,23.4,0.0
S139,20,T3,10.8,0.0
S139,21,T5,17.1,0.0
S139,22,T5,14.4,0.0
S139,23,T5,22.5,0.0
S140,1,T2,1114.2,0.7092
S140,1,T3,6000.0,0.0
S140,1,T4,3859.8,0.0
S140,1,T5,5820.9,0.0
S140,3,T4,6.3,0.0
S140,4,T8,0.9,0.0
S140,5,T1,1638.0,1.1194
S140,5,T2,6000.0,1.0638
S140,5,T3,5533.8,0.1295
S140,5,T8,5991.9,1.0169
S140,6,T4,11.7,0.0
S140,7,T3,10.8,0.0324
S140,8,T5,11.7,0.0
S140,9,T3,15.3,0.0
S140,10,T4,5.4,0.24979999999999997
S140,11,T3,9.9,0.0647
S140,12,T6,4.5,0.018
S140,13,T4,10.8,0.0
S140,14,T8,6.3,0.5085
S140,15,T3,13.5,0.0324
S140,16,T6,10.8,0.0169
S140,17,T3,9.9,0.0971
S140,18,T3,4.5,0.0
S140,19,T3,9.9,0.0324
S140,20,T3,6.3,0.0
S140,21,T4,7.2,0.0
S140,22,T3,6.3,0.0
S140,23,T5,13.5,0.0
S169,1,T2,4.5,0.7092
S169,3,T6,4.5,0.0454
S169,5,T1,6.3,1.1194
S169,7,T4,4.5,0.0
S169,9,T6,4.5,0.0254
S169,10,T4,2.7,0.24979999999999997
S169,11,T3,6.3,0.0647
S169,12,T4,3.6,0.0705
S169,13,T4,2.7,0.0
S169,15,T4,7.2,0.0598
S169,16,T6,2.7,0.0169
S169,17,T6,7.2,0.0338
S169,18,T5,1.8,0.0
S169,19,T4,3.6,0.0
S169,20,T3,0.9,0.0
S169,21,T5,4.5,0.0
S169,23,T5,5.4,0.0
S174,1,T2,3.6,0.7092
S174,2,T5,0.9,0.0
S174,3,T5,3.6,0.0
S174,4,T5,0.9,0.0
S174,5,T4,5.4,0.0
S174,7,T4,5.4,0.0
S174,9,T6,2.7,0.0254
S174,10,T6,0.9,0.0254
S174,11,T8,3.6,0.5085
S174,12,T3,3.6,0.0
S174,13,T4,5.4,0.0
S174,15,T3,8.1,0.0324
S174,16,T6,3.6,0.0169
S174,17,T6,5.4,0.0338
S174,18,T5,1.8,0.0
S174,19,T4,4.5,0.0
S174,21,T4,6.3,0.0
S174,23,T6,6.3,0.0
S175,1,T7,2.7,0.9783
S175,2,T3,0.9,0.0
S175,3,T4,6.3,0.0
S175,4,T8,0.9,0.0
S175,5,T8,4.5,1.0169
S175,6,T4,0.9,0.0
S175,7,T4,4.5,0.0
S175,8,T5,0.9,0.0
S175,9,T6,4.5,0.0254
S175,10,T4,2.7,0.24979999999999997
S175,11,T8,2.7,0.5085
S175,12,T6,3.6,0.018
S175,13,T4,6.3,0.0
S175,14,T3,0.9,0.0
S175,15,T6,8.1,0.007400000000000001
S175,16,T6,6.3,0.0169
S175,17,T3,8.1,0.0971
S175,18,T5,0.9,0.0
S175,19,T3,6.3,0.0324
S175,20,T3,0.9,0.0
S175,21,T3,3.6,0.0647
S175,22,T3,0.9,0.0
S175,23,T4,2.7,0.0
S308,1,T6,693.9,0.0106
S308,2,T4,743.4,0.0
S308,3,T8,914.4,0.0
S308,4,T3,964.8,0.0
S308,5,T5,1033.2,0.0
S308,6,T4,1283.4,0.0
S308,7,T3,431.7,0.0324
S308,7,T4,363.0,0.0
S308,8,T5,977.4,0.0
S308,9,T4,803.7,0.0
S308,10,T3,962.1,0.0
S308,11,T6,1063.8,0.0169
S308,12,T6,705.6,0.018
S308,13,T5,1011.6,0.0
S308,14,T4,802.8,0.0
S308,15,T4,961.2,0.0598
S308,16,T4,925.2,0.2242
S308,17,T3,879.3,0.0971
S308,18,T5,866.7,0.0
S308,19,T4,817.2,0.0
S308,20,T3,1049.4,0.0
S308,21,T5,1079.1,0.0
S308,22,T3,902.7,0.0
S308,23,T4,742.5,0.0
S308,24,T4,1362.9,0.0
S308,24,T5,6000.0,0.0
S330,1,T2,1030.5,0.7092
S330,2,T8,854.1,0.0
S330,3,T8,1511.1,0.0
S330,4,T4,898.2,0.0
S330,5,T5,1535.4,0.0
S330,6,T3,850.5,0.0
S330,7,T5,1205.1,0.0
S330,8,T5,1092.6,0.0
S330,9,T3,1336.5,0.0
S330,10,T4,964.8,0.24979999999999997
S330,11,T8,1323.0,0.5085
S330,12,T6,819.9,0.018
S330,13,T6,1011.6,0.014800000000000002
S330,14,T4,258.0,0.0
S330,14,T6,1065.9,0.0042
S330,15,T6,1251.0,0.007400000000000001
S330,16,T6,1641.6,0.0169
S330,17,T2,249.6,0.1773
S330,17,T6,862.8,0.0338
S330,18,T3,1051.2,0.0
S330,19,T6,767.7,0.007400000000000001
S330,20,T3,1187.1,0.0
S330,21,T4,1008.9,0.0
S330,22,T4,690.3,0.0
S330,23,T4,1548.0,0.0
S330,24,T3,5964.9,0.0
S330,24,T6,2826.3,0.0
S340,1,T2,125.7,0.7092
S340,1,T6,669.0,0.0106
S340,2,T4,746.1,0.0
S340,3,T5,846.9,0.0
S340,4,T3,636.9,0.0
S340,4,T5,325.2,0.0
S340,5,T1,45.3,1.1194
S340,5,T5,1007.7,0.0
S340,6,T3,1062.9,0.0
S340,7,T5,835.2,0.0
S340,8,T3,841.5,0.0
S340,9,T6,887.4,0.0254
S340,10,T3,808.2,0.0
S340,11,T3,789.3,0.0647
S340,12,T6,684.0,0.018
S340,13,T6,830.7,0.014800000000000002
S340,14,T3,864.0,0.0
S340,15,T4,891.9,0.0598
S340,16,T3,873.0,0.0
S340,17,T3,823.5,0.0971
S340,18,T5,797.4,0.0
S340,19,T6,802.8,0.007400000000000001
S340,20,T5,699.3,0.0
S340,21,T3,729.9,0.0647
S340,22,T4,738.0,0.0
S340,23,T5,796.5,0.0
S346,1,T2,99.0,0.7092
S346,2,T5,106.2,0.0
S346,3,T4,101.7,0.0
S346,4,T5,145.8,0.0
S346,5,T4,118.8,0.0
S346,6,T5,117.9,0.0
S346,7,T4,105.3,0.0
S346,8,T5,99.0,0.0
S346,9,T4,104.4,0.0
S346,10,T3,105.3,0.0
S346,11,T8,89.1,0.5085
S346,12,T8,106.2,0.678
S346,13,T4,102.6,0.0
S346,14,T4,114.3,0.0
S346,15,T3,108.0,0.0324
S346,16,T4,108.9,0.2242
S346,17,T6,99.9,0.0338
S346,18,T3,100.8,0.0
S346,19,T6,108.9,0.007400000000000001
S346,20,T3,96.3,0.0
S346,21,T3,118.8,0.0647
S346,22,T4,124.2,0.0
S346,23,T6,111.6,0.0
S364,1,T2,353.7,0.7092
S364,2,T8,83.7,0.0
S364,3,T6,108.0,0.0454
S364,4,T5,556.2,0.0
S364,5,T4,214.2,0.0
S364,6,T5,105.3,0.0
S364,7,T4,95.4,0.0
S364,8,T4,96.3,0.0
S364,9,T3,92.7,0.0
S364,10,T3,91.8,0.0
S364,11,T8,81.9,0.5085
S364,12,T6,97.2,0.018
S364,13,T4,97.2,0.0
S364,14,T4,91.8,0.0
S364,15,T6,96.3,0.007400000000000001
S364,16,T3,87.3,0.0
S364,17,T2,103.5,0.1773
S364,18,T5,93.6,0.0
S364,19,T4,100.8,0.0
S364,20,T3,103.5,0.0
S364,21,T4,90.0,0.0
S364,22,T4,89.1,0.0
S364,23,T4,105.3,0.0
S367,1,T2,165.6,0.7092
S367,2,T3,57.6,0.0
S367,3,T8,191.7,0.0
S367,4,T3,57.6,0.0
S367,5,T5,231.3,0.0
S367,6,T5,68.4,0.0
S367,7,T4,178.2,0.0
S367,8,T3,55.8,0.0
S367,9,T4,182.7,0.0
S367,10,T6,64.8,0.0254
S367,11,T8,136.8,0.5085
S367,12,T4,63.9,0.0705
S367,13,T4,216.9,0.0
S367,14,T4,75.6,0.0
S367,15,T6,210.6,0.007400000000000001
S367,16,T6,315.0,0.0169
S367,17,T3,537.3,0.0971
S367,18,T5,80.1,0.0
S367,19,T6,176.4,0.007400000000000001
S367,20,T3,69.3,0.0
S367,21,T3,24.9,0.0647
S367,21,T4,138.0,0.0
S367,22,T3,72.9,0.0
S367,23,T4,257.4,0.0
S392,1,T7,4.5,0.9783
S392,2,T3,0.9,0.0
S392,3,T8,5.4,0.0
S392,5,T1,6.3,1.1194
S392,7,T4,4.5,0.0
S392,9,T6,7.2,0.0254
S392,10,T6,1.8,0.0254
S392,11,T8,6.3,0.5085
S392,12,T8,2.7,0.678
S392,13,T4,4.5,0.0
S392,15,T3,9.9,0.0324
S392,16,T4,6.3,0.2242
S392,17,T4,6.3,0.2157
S392,18,T5,0.9,0.0
S392,19,T4,5.4,0.0
S392,20,T5,0.9,0.0
S392,21,T5,3.6,0.0
S392,22,T3,0.9,0.0
S392,23,T6,4.5,0.0
S003,2,T3,34.2,0.0
S003,3,T8,0.9,0.0
S003,5,T8,3.6,1.0169
S003,6,T5,0.9,0.0
S003,8,T3,68.4,0.0
S003,9,T4,348.3,0.0
S003,11,T2,282.6,0.8865
S003,12,T3,156.6,0.0
S003,13,T4,55.8,0.0
S003,14,T4,148.5,0.0
S003,17,T6,178.2,0.0338
S003,18,T5,108.0,0.0
S003,19,T4,48.6,0.0
S003,20,T4,67.5,0.0
S003,22,T3,81.9,0.0
S003,23,T3,106.2,0.1295
S025,1,T5,4.5,0.0
S025,2,T3,0.9,0.0
S025,4,T3,0.9,0.0
S025,6,T3,0.9,0.0
S025,11,T4,6.3,0.2755
S025,12,T3,3.6,0.0
S025,13,T5,4.5,0.0
S025,14,T4,0.9,0.0
S025,15,T3,5.4,0.0324
S025,17,T3,4.5,0.0971
S025,18,T5,1.8,0.0
S025,19,T6,3.6,0.007400000000000001
S025,20,T5,0.9,0.0
S067,5,T4,0.9,0.0
S067,6,T5,1.8,0.0
S067,7,T3,1.8,0.0324
S067,8,T3,1.8,0.0
S067,10,T3,1.8,0.0
S067,11,T4,2.7,0.2755
S067,12,T3,3.6,0.0
S067,13,T4,1.8,0.0
S067,16,T4,1.8,0.2242
S067,17,T3,1.8,0.0971
S067,18,T5,2.7,0.0
S067,19,T3,1.8,0.0324
S067,20,T3,1.8,0.0
S067,21,T3,0.9,0.0647
S067,23,T3,2.7,0.1295
S076,1,T2,4.5,0.7092
S076,2,T3,3.6,0.0
S076,5,T1,3.6,1.1194
S076,8,T3,1.8,0.0
S076,9,T6,3.6,0.0254
S076,11,T3,4.5,0.0647
S076,12,T8,1.8,0.678
S076,13,T4,3.6,0.0
S076,15,T3,2.7,0.0324
S076,16,T6,3.6,0.0169
S076,17,T3,3.6,0.0971
S076,18,T3,1.8,0.0
S076,19,T6,3.6,0.007400000000000001
S076,20,T6,2.7,0.0
S076,21,T3,2.7,0.0647
S076,22,T4,2.7,0.0
S080,1,T5,174.6,0.0
S080,6,T5,36.0,0.0
S080,7,T4,144.9,0.0
S080,9,T6,154.8,0.0254
S080,11,T3,134.1,0.0647
S080,12,T6,32.4,0.018
S080,14,T3,39.6,0.0
S080,16,T3,33.3,0.0
S080,17,T6,158.4,0.0338
S080,18,T6,31.5,0.0042
S080,19,T4,128.7,0.0
S080,21,T4,141.3,0.0
S080,22,T3,28.8,0.0
S080,23,T6,193.5,0.0
S113,2,T4,0.9,0.0
S113,3,T8,3.6,0.0
S113,5,T5,3.6,0.0
S113,6,T5,0.9,0.0
S113,10,T3,0.9,0.0
S113,11,T4,7.2,0.2755
S113,13,T4,6.3,0.0
S113,15,T4,9.9,0.0598
S113,17,T3,5.4,0.0971
S113,18,T5,1.8,0.0
S113,19,T4,5.4,0.0
S113,20,T5,0.9,0.0
S113,21,T5,5.4,0.0
S113,22,T4,0.9,0.0
S151,3,T5,294.6,0.0
S151,3,T8,400.2,0.0
S151,4,T3,671.4,0.0
S151,6,T3,744.3,0.0
S151,7,T5,669.6,0.0
S151,9,T6,783.9,0.0254
S151,10,T6,676.8,0.0254
S151,11,T2,2756.4,0.8865
S151,11,T3,4559.7,0.0647
S151,11,T4,4157.4,0.2755
S151,11,T5,5401.5,0.0
S151,14,T4,685.8,0.0
