波长,光强
617(mW/m2/nm),21.96044347
618(mW/m2/nm),22.46147343
619(mW/m2/nm),22.89012259
620(mW/m2/nm),23.05214788
621(mW/m2/nm),23.23966442
622(mW/m2/nm),23.09381519
623(mW/m2/nm),22.97773561
624(mW/m2/nm),22.48085461
625(mW/m2/nm),21.92017459
626(mW/m2/nm),21.12662955
627(mW/m2/nm),20.28861518
628(mW/m2/nm),19.37899094
629(mW/m2/nm),18.45518315
630(mW/m2/nm),17.62095139
631(mW/m2/nm),16.72342124
632(mW/m2/nm),15.95016577
633(mW/m2/nm),15.28844731
634(mW/m2/nm),14.67243156
635(mW/m2/nm),14.18599657
636(mW/m2/nm),13.74806248
637(mW/m2/nm),13.36475573
638(mW/m2/nm),13.01406488
639(mW/m2/nm),12.71729631
640(mW/m2/nm),12.46373965
641(mW/m2/nm),12.20058203
642(mW/m2/nm),11.94480268
643(mW/m2/nm),11.78453312
644(mW/m2/nm),11.55936197
645(mW/m2/nm),11.38567051
646(mW/m2/nm),11.23078998
647(mW/m2/nm),11.07311068
648(mW/m2/nm),10.87315426
649(mW/m2/nm),10.6907593
650(mW/m2/nm),10.56628731
651(mW/m2/nm),10.37654918
652(mW/m2/nm),10.2468707
653(mW/m2/nm),10.13221104
654(mW/m2/nm),9.977966793
655(mW/m2/nm),9.790495143
656(mW/m2/nm),9.673641681
657(mW/m2/nm),9.525438256
658(mW/m2/nm),9.336615723
659(mW/m2/nm),9.189255488
660(mW/m2/nm),9.066462809
661(mW/m2/nm),8.921741595
662(mW/m2/nm),8.789070779
663(mW/m2/nm),8.659671649
664(mW/m2/nm),8.503942729
665(mW/m2/nm),8.348296548
666(mW/m2/nm),8.199182175
667(mW/m2/nm),8.062405648
668(mW/m2/nm),7.925061398
669(mW/m2/nm),7.799759393
670(mW/m2/nm),7.683344237
671(mW/m2/nm),7.553353471
672(mW/m2/nm),7.427152555
673(mW/m2/nm),7.285093843
674(mW/m2/nm),7.170646368
675(mW/m2/nm),7.074476911
676(mW/m2/nm),6.901647803
677(mW/m2/nm),6.765016355
678(mW/m2/nm),6.635779854
679(mW/m2/nm),6.512784383
680(mW/m2/nm),6.386380242
681(mW/m2/nm),6.27638586
682(mW/m2/nm),6.14920132
683(mW/m2/nm),6.016945916
684(mW/m2/nm),5.888819214
685(mW/m2/nm),5.765535804
686(mW/m2/nm),5.656481795
687(mW/m2/nm),5.536624171
688(mW/m2/nm),5.402825517
689(mW/m2/nm),5.293449339
690(mW/m2/nm),5.159820111
691(mW/m2/nm),5.06336754
692(mW/m2/nm),4.946325593
693(mW/m2/nm),4.848210827
694(mW/m2/nm),4.722264916
695(mW/m2/nm),4.630391613
696(mW/m2/nm),4.512755809
697(mW/m2/nm),4.413606938
698(mW/m2/nm),4.301500227
699(mW/m2/nm),4.200315644
700(mW/m2/nm),4.111376531
701(mW/m2/nm),4.004798914
702(mW/m2/nm),3.907295121
703(mW/m2/nm),3.810927263
704(mW/m2/nm),3.737455746
705(mW/m2/nm),3.639137755
706(mW/m2/nm),3.553947028
707(mW/m2/nm),3.462972203
708(mW/m2/nm),3.380352035
709(mW/m2/nm),3.285806778
710(mW/m2/nm),3.200276766
711(mW/m2/nm),3.126856164
712(mW/m2/nm),3.038392396
713(mW/m2/nm),2.965327761
714(mW/m2/nm),2.898351846
715(mW/m2/nm),2.813534203
716(mW/m2/nm),2.748797225
717(mW/m2/nm),2.672765035
718(mW/m2/nm),2.605874266
719(mW/m2/nm),2.533674744
720(mW/m2/nm),2.472109411
721(mW/m2/nm),2.405133928
722(mW/m2/nm),2.341719859
723(mW/m2/nm),2.276779655
724(mW/m2/nm),2.217724513
725(mW/m2/nm),2.169950708
726(mW/m2/nm),2.103022899
727(mW/m2/nm),2.052033177
728(mW/m2/nm),2.010329956
729(mW/m2/nm),1.954223898
730(mW/m2/nm),1.892428772
731(mW/m2/nm),1.840564485
732(mW/m2/nm),1.783799194
733(mW/m2/nm),1.745825456
734(mW/m2/nm),1.692400804
735(mW/m2/nm),1.644251106
736(mW/m2/nm),1.600290477
737(mW/m2/nm),1.56900072
738(mW/m2/nm),1.515950989
739(mW/m2/nm),1.479744083
740(mW/m2/nm),1.440297933
741(mW/m2/nm),1.400521727
742(mW/m2/nm),1.354590608
743(mW/m2/nm),1.322099695
744(mW/m2/nm),1.28661579
745(mW/m2/nm),1.251047173
746(mW/m2/nm),1.213361805
747(mW/m2/nm),1.168943379
748(mW/m2/nm),1.142587454
749(mW/m2/nm),1.116214413
750(mW/m2/nm),1.08327774
751(mW/m2/nm),1.046999995
752(mW/m2/nm),1.020016414
753(mW/m2/nm),0.996289192
754(mW/m2/nm),0.965150341
755(mW/m2/nm),0.941575862
756(mW/m2/nm),0.913523944
757(mW/m2/nm),0.888405782
758(mW/m2/nm),0.860336748
759(mW/m2/nm),0.838220806
760(mW/m2/nm),0.81927651
761(mW/m2/nm),0.796108913
762(mW/m2/nm),0.77080421
763(mW/m2/nm),0.747365358
764(mW/m2/nm),0.72784432
765(mW/m2/nm),0.711749068
766(mW/m2/nm),0.689870582
767(mW/m2/nm),0.671282254
768(mW/m2/nm),0.645129554
769(mW/m2/nm),0.63683613
770(mW/m2/nm),0.611277287
771(mW/m2/nm),0.59703077
772(mW/m2/nm),0.582818053
773(mW/m2/nm),0.561312651
774(mW/m2/nm),0.543589435
775(mW/m2/nm),0.529682204
776(mW/m2/nm),0.513383294
777(mW/m2/nm),0.500714259
778(mW/m2/nm),0.487417569
779(mW/m2/nm),0.474595791
780(mW/m2/nm),0.463096922
